Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
26,52,58,Sandy,Rice,40,15,15,20-20
39,70,57,Loamy,Cotton,10,1,44,MOP
34,51,63,Black,Rice,30,1,43,MOP
30,87,70,Black,Maize,48,4,49,MOP
27,63,52,Loamy,Wheat,0,45,25,Urea
26,89,79,Sandy,Rice,40,20,44,28-28
38,44,40,Loamy,Wheat,31,9,36,MOP
30,39,45,Sandy,Maize,2,41,27,Urea
30,44,65,Sandy,Wheat,31,17,27,20-20
23,71,55,Black,Rice,41,25,29,28-28
27,58,24,Sandy,Cotton,4,19,12,Urea
22,86,52,Sandy,Wheat,42,40,24,28-28
21,52,20,Loamy,Wheat,36,35,44,28-28
31,88,72,Loamy,Ground Nuts,11,48,18,20-20
25,46,25,Sandy,Ground Nuts,13,20,12,20-20
21,89,56,Black,Maize,43,1,10,MOP
20,38,21,Loamy,Sugarcane,8,45,47,Urea
31,79,76,Red,Cotton,6,32,22,Urea
31,65,72,Black,Rice,15,22,13,20-20
36,38,78,Loamy,Maize,27,38,9,DAP
29,45,78,Loamy,Rice,6,30,33,Urea
35,65,24,Red,Rice,13,3,39,MOP
34,77,45,Sandy,Wheat,31,40,22,20-20
34,80,60,Loamy,Maize,7,2,39,Urea
38,62,70,Red,Maize,26,36,20,20-20
31,84,72,Red,Ground Nuts,49,9,19,MOP
39,60,66,Loamy,Cotton,2,41,31,Urea
22,35,32,Black,Sugarcane,26,31,13,20-20
24,39,31,Loamy,Rice,29,35,23,20-20
38,45,24,Red,Cotton,33,48,45,20-20
26,33,21,Loamy,Ground Nuts,25,26,17,20-20
28,83,78,Black,Cotton,36,48,46,28-28
26,51,23,Sandy,Rice,39,18,29,28-28
37,42,78,Sandy,Wheat,21,37,27,20-20
23,45,46,Loamy,Wheat,31,0,47,MOP
33,81,69,Loamy,Rice,40,25,13,20-20
37,58,72,Red,Ground Nuts,1,45,41,Urea
28,35,29,Black,Ground Nuts,46,12,20,20-20
21,55,32,Red,Maize,7,34,33,Urea
39,40,63,Red,Sugarcane,41,1,4,DAP
34,53,21,Sandy,Wheat,6,21,30,Urea
26,58,45,Red,Sugarcane,18,38,2,DAP
31,32,34,Red,Cotton,32,27,22,20-20
27,81,65,Sandy,Cotton,1,43,38,Urea
34,39,76,Sandy,Rice,2,1,43,Urea
22,89,29,Black,Rice,27,10,29,20-20
33,30,41,Black,Rice,13,47,41,20-20
36,81,59,Black,Ground Nuts,14,36,42,20-20
23,72,44,Loamy,Wheat,20,25,29,20-20
37,55,34,Sandy,Sugarcane,13,27,48,20-20
27,87,32,Loamy,Cotton,39,25,35,28-28
23,41,27,Loamy,Sugarcane,17,16,37,20-20
21,43,40,Black,Wheat,48,2,6,DAP
25,54,40,Sandy,Sugarcane,38,13,4,DAP
29,37,41,Loamy,Sugarcane,19,15,5,DAP
23,72,65,Red,Ground Nuts,0,48,48,Urea
37,33,52,Red,Rice,8,35,13,Urea
31,57,64,Sandy,Ground Nuts,8,27,10,Urea
21,36,46,Loamy,Ground Nuts,42,27,36,28-28
29,39,59,Black,Sugarcane,37,24,1,DAP
23,80,69,Loamy,Sugarcane,38,8,30,MOP
33,86,41,Red,Ground Nuts,28,10,45,20-20
35,87,49,Red,Sugarcane,14,36,26,20-20
34,65,28,Black,Ground Nuts,19,42,15,20-20
27,31,64,Sandy,Maize,37,44,1,DAP
33,55,54,Loamy,Ground Nuts,40,20,48,28-28
27,82,37,Red,Cotton,29,1,25,MOP
35,79,61,Loamy,Cotton,46,33,15,20-20
32,43,24,Black,Sugarcane,25,41,8,DAP
37,87,46,Black,Ground Nuts,5,12,8,Urea
34,45,76,Sandy,Ground Nuts,38,4,4,DAP
32,83,25,Black,Rice,16,10,35,20-20
28,72,51,Sandy,Rice,5,28,6,Urea
34,71,27,Loamy,Rice,27,46,31,20-20
32,46,75,Red,Ground Nuts,8,27,28,Urea
20,75,58,Red,Ground Nuts,26,27,36,20-20
26,51,40,Sandy,Cotton,34,4,2,DAP
28,33,37,Red,Wheat,45,19,29,28-28
20,48,33,Sandy,Sugarcane,5,36,39,Urea
31,31,34,Sandy,Cotton,3,38,30,Urea
27,68,61,Loamy,Rice,15,9,47,MOP
30,38,45,Loamy,Cotton,22,31,26,20-20
38,89,72,Black,Cotton,47,28,5,DAP
36,48,63,Sandy,Cotton,22,1,28,MOP
27,45,51,Loamy,Rice,28,0,8,DAP
22,83,58,Sandy,Wheat,40,19,19,20-20
22,54,47,Sandy,Maize,3,0,49,Urea
20,77,79,Sandy,Sugarcane,39,3,10,MOP
24,47,58,Loamy,Sugarcane,39,14,18,20-20
29,52,62,Sandy,Cotton,23,46,38,20-20
26,82,51,Sandy,Wheat,5,29,9,Urea
28,50,32,Black,Rice,39,5,4,DAP
26,40,34,Sandy,Maize,5,37,38,Urea
28,68,37,Black,Maize,13,0,22,MOP
27,70,58,Sandy,Cotton,13,6,5,DAP
31,33,25,Black,Cotton,49,4,30,MOP
21,54,74,Loamy,Rice,44,48,17,20-20
20,61,30,Loamy,Rice,46,6,20,MOP
35,59,51,Red,Ground Nuts,34,35,14,20-20
24,74,59,Sandy,Rice,5,2,30,Urea
22,88,39,Red,Cotton,22,11,9,DAP
31,55,52,Red,Wheat,19,14,5,DAP
27,86,59,Black,Cotton,16,19,23,20-20
22,65,27,Loamy,Cotton,19,40,32,20-20
20,80,70,Sandy,Maize,47,20,27,28-28
22,63,54,Sandy,Rice,5,31,27,Urea
24,38,24,Black,Sugarcane,39,11,9,DAP
34,41,54,Red,Rice,27,36,22,20-20
33,31,66,Black,Ground Nuts,12,39,14,20-20
22,67,33,Red,Wheat,28,46,45,20-20
20,34,40,Sandy,Wheat,44,6,47,MOP
24,34,66,Black,Rice,19,44,36,20-20
33,81,43,Red,Rice,16,30,13,20-20
26,51,36,Black,Cotton,34,0,47,MOP
28,34,37,Loamy,Sugarcane,44,10,13,20-20
34,88,53,Black,Cotton,38,44,6,DAP
34,33,31,Sandy,Maize,36,33,35,28-28
29,38,35,Black,Maize,42,18,17,20-20
32,58,23,Sandy,Wheat,22,10,14,20-20
38,51,44,Sandy,Wheat,17,32,48,20-20
26,56,53,Black,Sugarcane,35,32,32,20-20
36,39,47,Black,Wheat,19,7,46,MOP
39,45,65,Black,Ground Nuts,6,44,47,Urea
23,71,30,Loamy,Maize,35,7,21,MOP
24,71,32,Loamy,Sugarcane,41,33,42,28-28
26,80,50,Red,Maize,0,39,40,Urea
32,39,79,Black,Rice,48,26,16,20-20
34,35,44,Red,Rice,36,28,25,28-28
30,78,58,Red,Sugarcane,48,13,14,20-20
23,34,29,Sandy,Cotton,34,33,39,20-20
32,87,43,Red,Ground Nuts,40,44,17,20-20
26,35,20,Black,Ground Nuts,2,36,7,Urea
38,88,72,Loamy,Wheat,34,0,2,DAP
21,85,44,Red,Sugarcane,28,8,13,MOP
29,88,47,Red,Ground Nuts,8,9,33,Urea
32,76,55,Loamy,Wheat,36,29,32,28-28
25,54,37,Red,Maize,41,42,36,28-28
31,88,25,Black,Cotton,46,17,48,28-28
31,80,21,Red,Wheat,24,16,0,DAP
39,79,22,Sandy,Rice,11,5,47,MOP
30,33,65,Red,Rice,37,10,34,28-28
26,69,27,Sandy,Maize,6,23,9,Urea
20,88,50,Loamy,Sugarcane,6,35,18,Urea
20,77,67,Loamy,Wheat,3,32,10,Urea
39,61,38,Red,Maize,44,32,34,28-28
32,85,69,Red,Rice,46,17,1,DAP
28,80,25,Loamy,Rice,30,4,2,DAP
22,81,33,Sandy,Rice,49,30,14,20-20
26,64,22,Loamy,Cotton,49,15,40,28-28
